GENRE_ID,GENRE_NAME,GENRE_REP_ID,DB_GENRE_IMG_ID
1,Action/adventure,1,8770
3,Animated,1,8771
5,"Arts & Literature",11,8772
6,Awards,4,8774
7,Biography,10,8775
8,"Business & Finance",11,8777
9,Comedy,1,8778
10,Comedy-drama,1,8779
11,"Crime drama",1,8780
12,Documentary,10,8781
13,Drama,1,8782
14,Educational,9,8783
15,Entertainment,4,8784
16,Fantasy,1,8786
17,Food,6,8787
18,"Game show",4,8789
19,"Health & Fitness",6,8790
20,History,10,8791
21,"Hobbies & Crafts",6,8792
22,"Home & Garden",6,8793
23,Horror,1,8794
24,Magazine,,8795
25,music,7,9004
26,"Music videos",7,8796
27,musical,7,9005
28,Nature,10,8799
29,Newscast,8,8800
30,Newsmagazine,8,8801
31,Other,,8802
32,Outdoors,6,8803
33,paranormal,10,9018
34,Reality,10,8804
35,Religion,,8805
36,"Science & Technology",10,8808
37,Sci-fi,1,8807
38,Shopping,12,8810
39,Sports,8,8811
40,Talk,4,8812
41,Travel,6,8814
42,"2006 election",,8764
43,"2008 presidential",,8765
44,election,,8908
45,adaptation,2,8816
46,"adventure racing",5,8819
47,advice,,8820
48,agriculture,1,8821
49,all-star,4,8822
50,alternative,,8823
51,animals,10,8824
52,"animated comedy",1,8825
53,anime,3,8826
54,anthology,11,8827
55,archery,5,8828
56,"arm wrestling",5,8830
58,auction,11,8831
59,"audio only",,8832
60,"auto info",11,8833
61,"auto racing",5,8834
62,aviation,,8835
63,badminton,5,8836
64,ballet,6,8837
65,baseball,5,8838
66,basketball,5,8839
67,biathlon,5,8842
68,"bicycle motocross",5,8843
69,bicycling,6,8844
70,"big band ",7,8846
71,"black comedy",1,8848
72,bluegrass,7,8849
73,blues,7,8850
74,boating,5,8851
75,bobsledding,5,8852
76,bodybuilding,5,8853
77,bowling,5,8854
78,boxing,5,8855
79,bullfighting,5,8856
80,business,11,8857
81,cajun/zydeco,7,8858
82,canoeing,5,8859
83,"card game",6,8860
84,cartoon,3,8861
85,cheerleading,5,8863
86,"chick flick",2,8864
87,children,1,8865
88,christmas,11,8866
89,"cinco de mayo",11,8867
90,circus,4,8868
91,"classical music",7,8870
92,classifieds,,8871
93,collectibles,6,8872
94,college,9,8873
95,"coming of age",,8874
96,commentary,,8875
97,compilation,7,8876
98,computers,11,8877
99,concert,7,8878
100,cooking,6,8881
101,costumer,11,8882
102,"country music",7,8884
103,courtroom,,8885
104,crafts,6,8886
105,cricket,5,8887
106,crime,1,8888
107,"cult classic",7,8889
108,curling,5,8890
109,"current affairs",10,8891
110,dance,7,8892
111,debate,10,8895
112,debut,7,8896
113,"disco ",7,8898
114,diving,5,8901
115,docudrama,1,8902
116,"dog racing",5,8903
117,"dog show",11,8904
118,"drag racing",5,8905
119,easter,11,8906
120,"easy listening",7,8907
122,environment,10,8911
123,equestrian,5,8913
124,espionage,,8914
125,ethnic/world,7,8915
126,"extreme sports",5,8918
127,Family,,8785
128,fashion,11,8919
129,"fathers day",11,8920
130,fencing,5,8921
131,"field hockey",5,8922
132,"figure skating",5,8923
133,"filmed on location",2,8924
134,finance,11,8925
135,"fine arts",11,8926
136,fishing,6,8928
137,fitness,6,8929
138,"folk music",7,8930
139,football,5,8931
140,full-contact,,8932
141,fundraiser/telethon,4,8933
142,funk,7,8934
143,gardening,6,8935
144,"gay and lesbian",,8936
145,golf,5,8938
146,"gospel music",7,8939
147,government,,8941
148,"guy flick",2,8943
149,gymnastics,5,8944
150,halloween,11,8945
151,handball,5,8946
152,hanukkah,11,8947
153,health,,8948
154,"heavy metal",7,8949
155,"high school",9,8950
156,highlights,,8951
157,"hip-hop ",7,8952
158,hockey,5,8955
159,"home projects",6,8956
160,"horse racing",6,8957
161,hospital,11,8958
162,how-to,9,8959
163,hunting,6,8960
